variable,coef,std_err,wald_chi2,p_value,or,or_ci_low,or_ci_high,interpretation
const,1.317238983620887,0.5718494896964136,5.305980804815239,0.021252330683995943,3.7330999848479234,1.217055697562957,11.450614400620449,显著风险因子
平和质,-0.0011044159666702108,0.0037701345039051547,0.0858127192975302,0.7695694805572691,0.9988961936761898,0.9915422261189359,1.0063047033773973,保护趋势（未显著）
气虚质,0.010542506876021575,0.006503527048605083,2.627785332436399,0.10500809131448939,1.0105982749076265,0.997798255491383,1.0235624963518397,风险趋势（未显著）
阳虚质,-0.0029702563074182195,0.006406100600604577,0.2149811316225258,0.6428909454603514,0.9970341505396129,0.9845939239459031,1.0096315579100257,保护趋势（未显著）
阴虚质,0.004919778845286796,0.006524247500994678,0.5686307031721669,0.4508035520496557,1.0049319008282358,0.992163356579873,1.0178647685432345,风险趋势（未显著）
痰湿质,-0.0020877363658919103,0.004838400312957501,0.1861862981680301,0.6661098662533197,0.9979144414398498,0.9884958578471,1.0074227671556335,保护趋势（未显著）
湿热质,-0.006917126567059729,0.006502045848914133,1.131752309650598,0.28740187653259774,0.9931067416879577,0.9805311128263607,1.0058436570596876,保护趋势（未显著）
血瘀质,-0.00843089605757011,0.0068156395247129225,1.5301508380968236,0.21608980804483036,0.9916045442787305,0.9784463680143398,1.0049396720943402,保护趋势（未显著）
气郁质,0.012112104022971536,0.006620357690225465,3.3471584756374013,0.06732113059653783,1.0121857526009495,0.9991368141447897,1.0254051129577157,风险趋势（未显著）
特禀质,-0.0028184204461731825,0.006523320546846057,0.18666982579854843,0.6657028671203278,0.9971855475720093,0.984517216225443,1.01001688939362,保护趋势（未显著）
