feature,importance
abnormal_lipid_count,0.44542184189514844
TG（甘油三酯）,0.19359356614602277
TC（总胆固醇）,0.17372784270660077
血尿酸,0.09101031376026769
LDL-C（低密度脂蛋白）,0.03468348689825053
HDL-C（高密度脂蛋白）,0.022813718504102243
气郁质,0.005996677736656668
空腹血糖,0.004842252162574103
血瘀质,0.003118134535235223
气虚质,0.0030452938088325375
湿热质,0.002925468805361802
阳虚质,0.002840382421438606
平和质,0.002774624831223418
BMI,0.0024594385486413667
活动量表总分（ADL总分+IADL总分）,0.0023130296054605323
痰湿质,0.002031689570267932
阴虚质,0.0019565032819906752
特禀质,0.0015084093402074918
年龄组,0.001316471099516291
性别,0.0006106122923985844
吸烟史,0.0005695397336969785
饮酒史,0.0004407023161051836
