split,risk_level,sample_count,positive_rate,ci95_low,ci95_high,ci95_width,bootstrap_n
train,低风险,140,0.4,0.32142857142857145,0.47874999999999984,0.1573214285714284,1000
train,中风险,420,0.8547619047619047,0.8238095238095238,0.8857142857142857,0.06190476190476191,1000
train,高风险,140,1.0,1.0,1.0,0.0,1000
val,低风险,30,0.43333333333333335,0.26666666666666666,0.6,0.3333333333333333,1000
val,中风险,99,0.8686868686868687,0.797979797979798,0.9292929292929293,0.13131313131313127,1000
val,高风险,21,0.9523809523809523,0.8571428571428571,1.0,0.1428571428571429,1000
test,低风险,33,0.5454545454545454,0.36363636363636365,0.7272727272727273,0.36363636363636365,1000
test,中风险,98,0.8469387755102041,0.7755102040816326,0.9183673469387755,0.1428571428571429,1000
test,高风险,19,0.9473684210526315,0.8421052631578947,1.0,0.1578947368421053,1000
